subject,ants MI,custom MI,custom NMI
IXI629-Guys-1095,-0.7130483534091523,0.7549979835587122,0.4297814341809157
IXI432-Guys-0987,-0.7050477027241344,0.7488623157401748,0.4321120143647591
IXI642-Guys-1104,-0.7679458359625986,0.8064216313775199,0.41158550835008334
IXI234-IOP-0870,-0.5923579514098445,0.624519365924098,0.4494328274927704
IXI377-Guys-0937,-0.6932896031578604,0.7326211033762773,0.46545925884625583
IXI321-Guys-0903,-0.6676679643166681,0.7040783275612541,0.4511997213100847
IXI582-Guys-1127,-0.6812713693640939,0.7102796178085291,0.4014296669632967
IXI260-HH-1805,-0.592028340323921,0.6348667316042618,0.4429158060318321
IXI457-Guys-0984,-0.7667592423525702,0.8203037985081738,0.4494293887856925
IXI420-Guys-1028,-0.6720630154502972,0.7052752320522817,0.46118318719574136
IXI544-HH-2395,-0.5543793576643893,0.587794121966279,0.39135554584379917
IXI652-Guys-1116,-0.7998636229201486,0.8346480475123621,0.4110065851067399
IXI506-Guys-1035,-0.7247790157036594,0.7673510952751021,0.4652225040310491
IXI362-HH-2051,-0.6112586316441219,0.6427419808458663,0.42557641754819336
IXI592-Guys-1085,-0.6846107477015231,0.7290096163120889,0.4350834305958338
IXI439-HH-2114,-0.5666036429099198,0.6191131395717075,0.48611357494467405
IXI434-IOP-1010,-0.5913222857394479,0.6307874543833805,0.46311847160398034
IXI236-Guys-0817,-0.6825049808615296,0.7162321335678037,0.43425669328313193
IXI330-Guys-0881,-0.7365457227438117,0.7680650870752546,0.4331348444482978
IXI297-Guys-0886,-0.6984103527500468,0.7195161506034529,0.4325402679191464
IXI586-HH-2451,-0.6365448728018094,0.6865788222716516,0.45962878621589665
IXI313-HH-2241,-0.63961890507508,0.6706311267722378,0.4324099973935548
IXI252-HH-1693,-0.5914718289924236,0.6298576774411617,0.4203108001033335
IXI616-Guys-1092,-0.7154537311163437,0.764404831748358,0.4560585868864294
IXI269-Guys-0839,-0.6674062283066434,0.7098197268799837,0.4592728935402508
IXI558-Guys-1079,-0.6947305521534066,0.7210991122037913,0.4291180893140766
IXI232-IOP-0898,-0.5453208995680452,0.5940267162027455,0.43540958316657535
IXI392-Guys-1064,-0.6829632361199781,0.717715919699613,0.4825395600733432
IXI501-Guys-1016,-0.6727449205551896,0.7101720528103579,0.48301676233405416
IXI541-IOP-1146,-0.6002242264790567,0.6336345911495624,0.401739925362942
IXI473-IOP-1137,-0.6129247948873598,0.6439808532477933,0.40097130016312
IXI481-HH-2175,-0.5976091251216635,0.6526833095872377,0.41440615800012076
IXI385-HH-2078,-0.6343881908646363,0.6815502109173854,0.43557350185863597
IXI264-Guys-0854,-0.6238023457909189,0.6553125890988896,0.40567424968119625
IXI404-Guys-0950,-0.6845064808592933,0.711823386453053,0.3916231591677408
IXI612-HH-2688,-0.5912380765159733,0.6382536380774857,0.4489422184167916
IXI274-HH-2294,-0.6053820495276759,0.65349054700985,0.44475627989524497
IXI611-HH-2650,-0.6509504601128809,0.6985714525576281,0.4470064251977316
IXI405-Guys-0948,-0.6789476345305593,0.7123829006512841,0.4279267635996321
IXI661-HH-2788,-0.5868587553249694,0.609723211435885,0.41011387742067634
IXI630-Guys-1108,-0.6419541819563546,0.6739163949700306,0.45222477974211406
IXI662-Guys-1120,-0.7391659733148176,0.7780574800528872,0.43692084006082604
IXI298-Guys-0861,-0.6256810336469908,0.6697891077599696,0.4748542701440662
IXI422-Guys-1071,-0.6830444470662111,0.7209299811071501,0.41689956250575344
IXI259-HH-1804,-0.5709617678682254,0.6040678860626367,0.4323621003548739
IXI651-Guys-1118,-0.6419970804949107,0.6841072913473232,0.4354410289337653
IXI270-Guys-0847,-0.6120917236243838,0.6638531617217209,0.47498630531011843
IXI596-IOP-1160,-0.6022626982368171,0.6439093449694617,0.39563043027542355
IXI551-Guys-1065,-0.7076700702507169,0.7273406399545768,0.4197429067809186
IXI406-Guys-0963,-0.7182874355782416,0.7531773271872542,0.4509464479829802
IXI327-HH-1999,-0.6082831911451517,0.6523591952427306,0.4298861176992319
IXI285-Guys-0857,-0.6690818199964458,0.7167481705094203,0.4477959796739839
IXI638-HH-2786,-0.6261751460997003,0.6557354478322641,0.42256044630375006
IXI543-IOP-1148,-0.602612964427359,0.6546007338764479,0.4090667026385938
IXI587-Guys-1128,-0.6826261983339849,0.730268144000171,0.44373289161398044
IXI606-HH-2601,-0.6211050881879752,0.6468337124036925,0.4122809679611563
IXI394-Guys-0940,-0.7089945003746748,0.7579090954681145,0.44524052495396493
IXI505-Guys-1026,-0.7070156526159086,0.7505934505261913,0.47785126944116424
IXI450-Guys-1093,-0.7065550240732397,0.7437083218855634,0.4474547526356181
IXI496-Guys-1045,-0.7018966308323057,0.7241281867292955,0.4714009625514732
IXI293-IOP-0876,-0.6068082619120267,0.6355735574136836,0.4456838177578716
IXI257-HH-1724,-0.6165349464072233,0.6561706678456112,0.42335541941304294
IXI594-Guys-1089,-0.728393867931101,0.7572938464732544,0.4302534381625751
IXI572-HH-2605,-0.5600224920206449,0.5948011368708928,0.4556149746843806
IXI428-Guys-0996,-0.7051426903071121,0.7312012575480282,0.43184059684299025
IXI378-IOP-0972,-0.6066328006847053,0.6187293247907775,0.413260184076936
IXI538-HH-2411,-0.5927801313373026,0.6175315859982295,0.4490701466343972
IXI320-Guys-0902,-0.649213947226593,0.6882045415632221,0.4579475588990337
IXI567-HH-2536,-0.5903974357036452,0.6403157824971011,0.4830181321051456
IXI565-HH-2534,-0.6310124262600254,0.6709208368226771,0.41809818128785325
IXI241-Guys-0833,-0.6650207342940294,0.6890327357231745,0.45725663969287406
IXI388-IOP-0973,-0.6591512893229378,0.6969369802919547,0.3837654623708778
IXI566-HH-2535,-0.637458095019109,0.6754405301686619,0.39770460120320195
IXI315-IOP-0888,-0.6098609498566788,0.6599616336512937,0.4087842694606647
IXI431-Guys-0986,-0.5716472084641,0.6171335672325733,0.506306420986661
IXI537-HH-2378,-0.6135368844946886,0.64626371562973,0.3806124493247912
IXI531-Guys-1057,-0.7191959653619857,0.7454381908836214,0.42606815579768437
IXI282-HH-2025,-0.6139553261568022,0.6588336857641526,0.44233115064064515
IXI619-Guys-1099,-0.6527914780191836,0.7025182175821048,0.43093881345070223
IXI409-Guys-0960,-0.6649731294859985,0.6831598867977542,0.4153039704659705
IXI430-IOP-0990,-0.6327944184396075,0.6599196744686409,0.4507504887029645
IXI480-Guys-1033,-0.701730025866415,0.7314481121803449,0.44570367516919884
IXI456-Guys-1019,-0.7064714559132605,0.7432916270932997,0.4610780644912279
